,,LAMB2,,,,,,,,0.13,,0.02
,,LAMB3,,,,,,,,0.33,,0.75
,,LAMB4,,,,,,,,0.67,,0.88
,,LAMC1,,,,,,,,0.04,,0.88
,,LAMC2,,,,,,,,0.33,,0.42
,,LAMC3,,,,,,,,0.20,,0.95
,,LARP1,,,,,,,,0.06,,0.30
,,LARP1B,,,,,,,,1.00,,0.72
,,LARP4,,,,,,,,0.53,,0.91
,,LARP4B,,,,,,,,1.00,,0.99
,,LARP6,,,,,,,,0.52,,0.78
,,LARP7,,,,,,,,0.23,,0.05
,,LARS2,,,,,,,,0.52,,0.21
,,LASS1,,,,,,,,0.00,,0.00
,,LASS2,,,,,,,,0.00,,0.00
,,LASS3,,,,,,,,0.00,,0.00
,,LASS4,,,,,,,,0.00,,0.00
,,LASS5,,,,,,,,0.00,,0.00
,,LASS6,,,,,,,,0.00,,0.00
,,LDOC1L,,,,,,,,1.00,,0.57
,,LEKR1,,,,,,,,1.00,,0.52
,,LGI2,,,,,,,,0.50,,0.56
,,LGI3,,,,,,,,0.41,,0.34
,,LGI4,,,,,,,,1.00,,0.53
,,LGSN,,,,,,,,0.55,,0.41
,,LIM2,,,,,,,,1.00,,0.87
,,LIPC,,,,,,,,0.16,,0.07
,,LIPE,,,,,,,,0.86,,0.44
,,LIPF,,,,,,,,0.52,,0.49
,,LIPG,,,,,,,,1.00,,0.74
,,LIPH,,,,,,,,0.75,,0.60
,,LIPI,,,,,,,,0.34,,0.35
,,LIPJ,,,,,,,,1.00,,0.89
,,LIPK,,,,,,,,0.00,,0.00
,,LIPN,,,,,,,,0.00,,0.00
,,LLPH,,,,,,,,0.00,,0.00
,,LMAN2,,,,,,,,0.49,,0.18
,,LMAN2L,,,,,,,,0.28,,0.85
,,LMX1A,,,,,,,,0.05,,0.37
,,LMX1B,,,,,,,,0.27,,0.48
,,LONP1,,,,,,,,0.20,,0.59
,,LONP2,,,,,,,,0.57,,0.64
,,LPA,,,,,,,,0.60,,0.40
,,LRIT1,,,,,,,,0.37,,0.72
,,LRIT2,,,,,,,,0.99,,0.55
,,LRIT3,,,,,,,,0.67,,0.34
,,LRP8,,,,,,,,0.27,,0.09
,,LRRC37A2,,,,,,,,0.49,,0.87
,,LRRC37A3,,,,,,,,0.20,,0.12
,,LRRC8A,,,,,,,,0.22,,0.11
,,LRRC8B,,,,,,,,0.83,,0.86
,,LRRC8C,,,,,,,,0.74,,0.67
,,LRRC8D,,,,,,,,1.00,,0.54
,,LRRC8E,,,,,,,,0.83,,0.68
,,LSM1,,,,,,,,0.00,,0.00
,,LSM10,,,,,,,,0.00,,0.00
,,LSM11,,,,,,,,0.00,,0.00
,,LSM14A,,,,,,,,0.46,,0.65
,,LSM14B,,,,,,,,1.00,,0.56
,,LSM2,,,,,,,,0.52,,0.51
,,LSM3,,,,,,,,0.00,,0.00
,,LSM4,,,,,,,,0.00,,0.00
,,LSM5,,,,,,,,0.00,,0.00
,,LSM6,,,,,,,,0.00,,0.00
,,LSM7,,,,,,,,0.00,,0.00
,,LSS,,,,,,,,1.00,,0.77
,,LY6D,,,,,,,,0.00,,0.00
,,LY6G5B,,,,,,,,1.00,,0.54
,,LY6G5C,,,,,,,,0.00,,0.00
,,LY6G6C,,,,,,,,0.00,,0.00
,,LY6G6D,,,,,,,,0.61,,0.48
,,LY6G6F,,,,,,,,0.90,,0.47
,,LY6H,,,,,,,,0.00,,0.00
,,LY6K,,,,,,,,0.00,,0.00
,,LZTS2,,,,,,,,1.00,,0.80
,,MAGEA1,,,,,,,,0.00,,0.00
,,MAGEA10,,,,,,,,0.87,,0.88
,,MAGEA11,,,,,,,,1.00,,0.69
,,MAGEA12,,,,,,,,1.00,,0.48
,,MAGEA3,,,,,,,,0.11,,0.08
,,MAGEA4,,,,,,,,1.00,,0.54
,,MAGEA5,,,,,,,,0.00,,0.00
,,MAGEA6,,,,,,,,0.53,,0.90
,,MAGEA8,,,,,,,,0.00,,0.00
,,MAGEB1,,,,,,,,0.74,,0.38
,,MAGEB10,,,,,,,,0.26,,0.97
,,MAGEB16,,,,,,,,0.63,,0.70
,,MAGEB18,,,,,,,,0.46,,0.15
,,MAGEB2,,,,,,,,0.00,,0.00
,,MAGEB3,,,,,,,,0.00,,0.00
,,MAGEB4,,,,,,,,0.77,,0.96
,,MAGEB6,,,,,,,,0.79,,0.96
,,MAGEC1,,,,,,,,0.92,,0.74
,,MAGEC2,,,,,,,,0.23,,0.12
,,MAGEC3,,,,,,,,0.11,,0.12
,,MAGED1,,,,,,,,1.00,,0.64
,,MAGED2,,,,,,,,0.33,,0.13
,,MAGEE2,,,,,,,,0.84,,0.45
,,MAGEF1,,,,,,,,0.00,,0.00
,,MAGEH1,,,,,,,,0.00,,0.00
,,MAGI1,,,,,,,,0.69,,0.62
,,MAGI2,,,,,,,,0.47,,0.20
,,MAGI3,,,,,,,,1.00,,0.91
,,MAGIX,,,,,,,,0.66,,0.77
,,MAGOH,,,,,,,,0.62,,0.52
,,MAL,,,,,,,,0.00,,0.00
,,MAL2,,,,,,,,0.00,,0.00
,,MALL,,,,,,,,0.00,,0.00
,,MANEA,,,,,,,,0.64,,0.39
,,MANEAL,,,,,,,,0.49,,0.70
,,MARS2,,,,,,,,0.50,,0.23
,,MAT1A,,,,,,,,1.00,,0.50
,,MAT2B,,,,,,,,0.00,,0.00
,,MATN1,,,,,,,,0.27,,0.95
,,MBL2,,,,,,,,0.00,,0.00
,,MBTPS1,,,,,,,,0.87,,0.49
,,MBTPS2,,,,,,,,0.14,,0.91
,,MCTP1,,,,,,,,0.36,,0.96
,,MCTP2,,,,,,,,0.33,,0.19
,,MDH1,,,,,,,,0.86,,0.78
,,MDH1B,,,,,,,,0.19,,0.90
,,MDH2,,,,,,,,0.00,,0.00
,,MDN1,,,,,,,,0.61,,0.27
,,MEP1A,,,,,,,,1.00,,0.92
,,MEP1B,,,,,,,,0.70,,0.44
,,MEPE,,,,,,,,0.87,,0.88
,,METRNL,,,,,,,,0.54,,0.47
,,MGRN1,,,,,,,,0.52,,0.99
,,MIA3,,,,,,,,1.00,,0.49
,,MICAL1,,,,,,,,0.27,,0.93
,,MICAL2,,,,,,,,0.28,,0.65
,,MICAL3,,,,,,,,1.00,,0.57
,,MIER2,,,,,,,,1.00,,0.99
,,MIER3,,,,,,,,0.06,,0.32
,,MINPP1,,,,,,,,0.06,,0.20
,,MKLN1,,,,,,,,0.66,,0.67
,,MKS1,,,,,,,,0.19,,0.32
,,MLL,,,,,,,,0.00,,0.00
,,MLL5,,,,,,,,0.00,,0.00
,,MLST8,,,,,,,,0.77,,0.26
,,MMACHC,,,,,,,,1.00,,0.83
,,MMADHC,,,,,,,,0.84,,0.20
,,MMP3,,,,,,,,0.72,,0.34
,,MMP7,,,,,,,,0.00,,0.00
,,MOBKL1A,,,,,,,,0.00,,0.00
,,MOBKL1B,,,,,,,,0.00,,0.00
,,MOBKL2A,,,,,,,,0.00,,0.00
,,MOBKL2B,,,,,,,,0.00,,0.00
,,MOBKL2C,,,,,,,,0.00,,0.00
,,MOBKL3,,,,,,,,0.00,,0.00
,,MOXD1,,,,,,,,0.02,,0.73
,,MPP2,,,,,,,,0.24,,0.20
,,MPP3,,,,,,,,0.40,,0.86
,,MPP4,,,,,,,,0.00,,0.00
,,MPP5,,,,,,,,0.25,,0.53
,,MPP6,,,,,,,,0.49,,0.52
,,MPP7,,,,,,,,1.00,,0.99
,,MR1,,,,,,,,1.00,,0.84
,,MRC2,,,,,,,,0.50,,0.17
,,MRGPRD,,,,,,,,1.00,,0.93
,,MRGPRE,,,,,,,,0.62,,0.87
,,MRGPRF,,,,,,,,0.65,,0.43
,,MRGPRX1,,,,,,,,1.00,,0.96
,,MRGPRX2,,,,,,,,0.54,,0.39
,,MRGPRX3,,,,,,,,0.17,,0.07
,,MRGPRX4,,,,,,,,0.00,,0.00
,,MSMP,,,,,,,,1.00,,0.41
,,MTA2,,,,,,,,0.35,,0.84
,,MTHFD2,,,,,,,,1.00,,0.80
,,MTHFS,,,,,,,,1.00,,0.88
,,MTL5,,,,,,,,0.25,,0.32
,,MUC15,,,,,,,,0.16,,0.43
,,MUC20,,,,,,,,1.00,,0.99
,,MUC21,,,,,,,,0.09,,0.57
,,MUC5B,,,,,,,,0.35,,1.00
,,MUSTN1,,,,,,,,0.00,,0.00
,,MX1,,,,,,,,0.41,,0.54
,,MYBPC1,,,,,,,,1.00,,0.89
,,MYBPC2,,,,,,,,0.59,,0.18
,,MYBPC3,,,,,,,,0.69,,0.53
,,MYCL1,,,,,,,,0.00,,0.00
,,MYH14,,,,,,,,0.74,,0.80
,,MYH15,,,,,,,,0.73,,0.79
,,MYLK4,,,,,,,,0.40,,0.24
,,MYO5A,,,,,,,,0.72,,0.40
,,MYOC,,,,,,,,0.62,,0.36
,,MYOM1,,,,,,,,1.00,,0.76
,,MYOM2,,,,,,,,0.51,,0.49
,,MYOM3,,,,,,,,0.48,,0.34
,,MYPOP,,,,,,,,0.84,,0.35
,,MYSM1,,,,,,,,1.00,,0.51
,,NAA11,,,,,,,,0.00,,0.00
,,NAA16,,,,,,,,0.07,,0.94
,,NAA20,,,,,,,,0.00,,0.00
,,NAA25,,,,,,,,0.85,,0.48
,,NAA30,,,,,,,,0.00,,0.00
,,NAA35,,,,,,,,0.81,,0.38
,,NAA50,,,,,,,,0.00,,0.00
,,NACC1,,,,,,,,0.49,,0.36
,,NACC2,,,,,,,,0.00,,0.00
,,NAGA,,,,,,,,0.86,,0.55
,,NAGLU,,,,,,,,0.48,,0.81
,,NALCN,,,,,,,,0.43,,0.31
,,NAPB,,,,,,,,0.00,,0.00
,,NAPG,,,,,,,,1.00,,0.69
,,NARS2,,,,,,,,0.52,,0.90
,,NBPF1,,,,,,,,0.49,,0.58
,,NBPF10,,,,,,,,1.00,,0.96
,,NBPF14,,,,,,,,0.77,,0.21
,,NBPF15,,,,,,,,0.12,,0.61
,,NBPF16,,,,,,,,0.00,,0.00
,,NBPF3,,,,,,,,0.22,,0.87
,,NBPF7,,,,,,,,0.00,,0.00
,,NBPF9,,,,,,,,0.33,,0.45
,,NCAPD3,,,,,,,,1.00,,0.80
,,NCAPG,,,,,,,,0.27,,0.30
,,NCAPG2,,,,,,,,0.41,,0.96
,,NCAPH,,,,,,,,0.03,,0.90
,,NCAPH2,,,,,,,,0.42,,0.27
,,NCBP1,,,,,,,,0.78,,0.19
,,NCBP2,,,,,,,,0.00,,0.00
,,NCF4,,,,,,,,1.00,,0.52
,,NDC80,,,,,,,,1.00,,0.64
,,NDUFA12,,,,,,,,0.00,,0.00
,,NDUFA13,,,,,,,,0.00,,0.00
,,NDUFA4L2,,,,,,,,0.00,,0.00
,,NDUFAF1,,,,,,,,0.60,,0.84
,,NDUFAF2,,,,,,,,1.00,,0.82
,,NDUFAF3,,,,,,,,1.00,,0.84
,,NDUFAF4,,,,,,,,0.00,,0.00
,,NDUFS1,,,,,,,,0.34,,0.10
,,NDUFS2,,,,,,,,0.04,,0.39
,,NDUFS3,,,,,,,,0.00,,0.00
,,NDUFS4,,,,,,,,0.21,,0.06
,,NDUFS5,,,,,,,,0.00,,0.00
,,NDUFS6,,,,,,,,0.00,,0.00
,,NDUFS7,,,,,,,,0.05,,0.96
,,NDUFS8,,,,,,,,0.00,,0.00
,,NDUFV1,,,,,,,,0.23,,0.19
,,NDUFV2,,,,,,,,1.00,,0.57
,,NDUFV3,,,,,,,,0.00,,0.00
,,NEDD1,,,,,,,,0.44,,0.58
,,NEDD4L,,,,,,,,0.03,,0.07
,,NEDD8,,,,,,,,1.00,,0.54
,,NEDD9,,,,,,,,0.41,,0.12
,,NEFH,,,,,,,,1.00,,0.99
,,NEFL,,,,,,,,0.00,,0.00
,,NEFM,,,,,,,,1.00,,0.72
,,NFE2,,,,,,,,0.21,,0.44
,,NFIL3,,,,,,,,1.00,,0.07
,,NFKBIB,,,,,,,,0.77,,0.69
,,NFKBID,,,,,,,,0.00,,0.00
,,NFKBIZ,,,,,,,,0.13,,0.08
,,NFX1,,,,,,,,0.56,,0.17
,,NFXL1,,,,,,,,1.00,,0.82
,,NFYA,,,,,,,,0.95,,0.68
,,NFYB,,,,,,,,0.00,,0.00
,,NFYC,,,,,,,,0.00,,0.00
,,NGDN,,,,,,,,1.00,,0.99
,,NGFR,,,,,,,,1.00,,0.83
,,NGRN,,,,,,,,0.00,,0.00
,,NKPD1,,,,,,,,0.64,,0.32
,,NKX2-3,,,,,,,,0.09,,0.08
,,NLGN4X,,,,,,,,0.38,,0.72
,,NLGN4Y,,,,,,,,0.46,,0.48
,,NLRC3,,,,,,,,0.00,,0.00
,,NLRC5,,,,,,,,0.89,,0.81
,,NLRP1,,,,,,,,0.18,,0.89
,,NLRP10,,,,,,,,0.52,,0.73
,,NLRP11,,,,,,,,0.69,,0.37
,,NLRP12,,,,,,,,0.72,,0.24
,,NLRP13,,,,,,,,0.44,,0.74
,,NLRP14,,,,,,,,0.24,,0.85
,,NLRP3,,,,,,,,0.01,,0.02
,,NLRP4,,,,,,,,0.83,,0.42
,,NLRP5,,,,,,,,0.25,,0.97
,,NLRP6,,,,,,,,0.14,,0.17
,,NLRP7,,,,,,,,0.51,,0.26
,,NLRP9,,,,,,,,1.00,,0.90
,,NME2,,,,,,,,0.00,,0.00
,,NME4,,,,,,,,0.00,,0.00
,,NME5,,,,,,,,1.00,,0.59
,,NME6,,,,,,,,0.00,,0.00
,,NME7,,,,,,,,0.52,,0.09
,,NOS2,,,,,,,,0.12,,0.50
,,NOTCH1,,,,,,,,0.89,,0.63
,,NOX5,,,,,,,,0.40,,0.65
,,NPAT,,,,,,,,0.34,,0.94
,,NPC1,,,,,,,,1.00,,0.63
,,NPC2,,,,,,,,0.00,,0.00
,,NPM2,,,,,,,,0.82,,0.53
,,NPM3,,,,,,,,1.00,,0.84
,,NQO2,,,,,,,,0.10,,0.02
,,NRGN,,,,,,,,0.00,,0.00
,,NSMCE2,,,,,,,,0.44,,0.61
,,NSUN2,,,,,,,,1.00,,0.81
,,NSUN3,,,,,,,,0.98,,0.85
,,NSUN4,,,,,,,,0.00,,0.00
,,NSUN5,,,,,,,,0.00,,0.00
,,NSUN6,,,,,,,,0.73,,0.36
,,NSUN7,,,,,,,,0.37,,0.98
,,NT5C1A,,,,,,,,0.09,,0.67
,,NT5C1B,,,,,,,,1.00,,0.65
,,NT5C2,,,,,,,,0.00,,0.00
,,NT5C3,,,,,,,,0.00,,0.00
,,NT5C3L,,,,,,,,0.00,,0.00
,,NT5E,,,,,,,,0.12,,0.04
,,NUBP1,,,,,,,,0.35,,0.47
,,NUBP2,,,,,,,,0.00,,0.00
,,OAS2,,,,,,,,1.00,,0.80
,,OAS3,,,,,,,,0.35,,0.69
,,ODAM,,,,,,,,0.60,,0.61
,,ODZ1,,,,,,,,0.00,,0.00
,,ODZ2,,,,,,,,0.00,,0.00
,,ODZ3,,,,,,,,0.00,,0.00
,,ODZ4,,,,,,,,0.00,,0.00
